Sl,Class,Recipe Name,Preparation Time ,Cooking Time,Serving,Ingredients,Instructions
1,Nuggesoppu,Nuggesoppu Tambli,5 Mins,10 Mins,4 - 5 People,"2 cups of Nuggesoppu (Moringa Leaves), 1 cup of grated coconut, 5-6 peppercorns, 1/2 tsp cumin seeds, 1/2 tsp mustard seeds, 1 red chili, 2 tsp ghee, salt to taste, 1 glass of Butter Milk, Curry Leaves.","Heat 1 tsp of ghee in a pan, add Nuggesoppu, cumin seeds, peppercorns, and roast lightly. Once cooled, grind with grated coconut and add butter milk and salt. Finally, season with ghee, mustard seeds, red chilies, and curry leaves."
2,Nuggesoppu,Nuggesoppu Tovve,5 Mins,12 Mins,4 - 5 People,"5-6 soaked moong dal, 1 chopped onion, 1 tomato, 6-7 cups chopped Nuggesoppu  (moringa leaves), salt to taste, 1/4 tsp turmeric powder, 1 tsp chilli powder, a little jaggery, grated coconut, mustard seeds, urad dal, oil.","In a pan, add nicely chopped tomato, chopped onion, soaked moong dal, chopped moringa leaves, salt, jaggery, turmeric powder, chilli powder, sprinkle little water and let it cook. Finally season with oil in a pan and add mustered seeds, urad dal and curry leaves."
3,Nuggesoppu,Nuggesoppu Rotti,5 Hours,5 Mins,4 - 5 People,"150 grms of White Rice, 4-5 cups of Nuggesoppu (Moringa leaves), 1 tsp Corriander, 1/2 tsp Turmeric powder, 1/2 tsp Jeera, 4 peppercorns, 1 small piece of tamrind, salt to taste, a little jaggery.","Soak the rice for 4-5 hours. After soaking, add all the remaining ingredients except Nuggesoppu, mix well, and grind. Then add moringa leaves to the batter, and pour the batter, apply ghee on the pan to make rotis."
4,Nuggesoppu,Nuggesoppu Palya,5 Mins,20 Mins,4 - 5 People,"1/2 cup moong dal, 1/2 cup toor dal, 4 cups chopped Nuggesoppu (Moringa Leaves), 3 green chilies, 1 inch ginger, coconut oil, mustered seeds, 3 garlic.","Put all the ingredients in a pressure cooker. Add a tablespoon of coconut oil, a teaspoon of mustard seeds. Add as much water as needed and cook until soft. Once the pressure cooker cools down, add salt, a little jaggery, and some water to adjust the consistency. Boil again, and then add chopped coriander leaves, curry leaves, garlic and seasoning as desired."
5,Bitter Gourd,Bitter Gourd Gojju,8 Mins,10 Mins,4 - 5 People,"1 Large sized Bitter Gourd, 1 green chilli, 50 grms jaggery, salt to taste, 1/2 tsp Red chilli powder, 1/4 tsp turmeric powder, 1 small piece of tamarind juice, 3-4 curry leaves, mustered seeds. ","Heat a pan and add chopped bitter gourd, chopped green chilli, tamarind pulp, jaggery, salt, turmeric powder, red chilli powder and also add 2 glassed of water until the bitter gourd is cooked properly. At last add seasoning with mustered seeds and red chilli and curry leaves."
6,Bitter Gourd,Bitter Gourd Palya,10 Mins,15 Mins,4 - 5 People,"2 Bitter Gourd, 1 Green Chilli, 1 Bowl of grated coconut, 50 grms jaggery, salt to taste, 1 tsp red chilli powder, 1/4 tsp turmeric powder, 1 small piece of tamarind juice, 1/2 tsp of urad dal, mustered seeds, 2 redchillies, 3-4 curry leaves","Chopp the bitter gourd and keep it aside. Heat a pan and add 2 spoons of oil and add the chopped bitter gourd pieces and add the jaggery, salt, turmeric powder, red chilli powder, green chilli, tamarind pulp and add water for cooking bitter gourd. Once the bitter gourd is half cooked add the grated coconut and give it a good mix. Finally season it with the urad dal, mustered seeds and curry leaves."
7,Bitter Gourd,Bitter Gourd Menaskayi,10 Mins,20 Mins,4 - 5 People,"1 Large sized Bitter Gourd, 1 Bowl of grated coconut, 25 grms jaggery, 4 tsp black sesame, 1/4 urad dal, four peppercorns, 4-5 curry leaves, Salt to taste, One lemon size tamarind juice,  coconut oil, 1/4 tsp turmeric powder 1/2 pepper powder, Mustard, Dry Chilli.","In a pot add tamarind juice, bitter gourd, green chillies, turmeric powder, chili powder, jaggery, salt, add some water, add half spoon of coconut oil and cook well. Put one spoon oil, urad dal, sesame seeds, curry leaf in a pan and fry well and grind it finely with coconut. Add to the cooked slices and boil well. At the end add mustard, dry chillies and curry leaf for seasoning."
8,Bitter Gourd,Bitter Gourd Majjigehuli,8 Mins,20 Mins,4 - 5 People,"A big bitter gourd, 2 green chillies, a cup of grated coconut, 50grms jaggery, salt, a glass of buttermilk, 10ml of tamerind juice, mustard for seasoning, dry chillies, a little coconut oil.","Grind the coconut finely. Cut the bitter gourd into thin circles and remove the seeds. Put it in a pot and add green chillies, jaggery, salt, tamarind pulp and a little water let the bitter gourd cook. After its cooked, turn of the flame and add buttermilk, after 10 mins add the coconut paste grinded and bring it to a boil. Later season it with mustard seeds and dry chillies."
9,Bottle Gourd,Bottle Gourd Kadubu,5 Hours,1 Hour,4 - 5 People,"10 banana leaf, one big bottle gourd, two glasses of dosa rice, salt to taste.","Soak the rice for 4-5 hours. Peel the gourd, and grate the gourd. Drain the banana leaf and keep it dry. Add a cup of grated gourd to the soaked rice. Add salt and grind it a little bit hard batter. Then mix grated gourd in the grinded mixture and put it in a banana leaf and cook it in steam for one hour"
10,Bottle Gourd,Bottle Gourd Payasa,10 Mins,35 Mins,4 - 5 People,"A small bottle gourd, a quarter kg of jaggery, two glasses of coconut milk, 4 tsp of rice flour, cardamom powder.","Peel the gourd and cut it into small pieces, add some water and cook it well in a vessel. Then make jaggery powder and add it to the gourd to cook. After the jaggery melts, add coconut milk and boil it, then mix the rice flour thinly in water and add it to the vessel to boil it well. At the end add cardamom powder. If you add four grains of salt while making jaggery payasa, it will taste better."
11,Bottle Gourd,Bottle Gourd Paaniya,5 Mins,5 Mins,4 - 5 People,"Bottle gourd,  Jaggery to taste, Cardamom Powder.","Peel and grate the gourd and put it in a mixer, grind it and mix it with jaggery powder, cardamom powder. It is very cool for the body and health drink too."
12,Bottle Gourd,Bottle Gourd Jeera Sambar,10 Mins,15 Mins,4 - 5 People,"One bottle gourd, one cup grated coconut, 25grms jaggery, salt, 2 tsp cumin seeds, 4 dry chilies, mustard for seasoning, 5 curry leaf.","Peel the gourd, remove the pulp and cut into small pieces, add salt, jaggery, water and cook it. In a pan add little oil, cummin seeds, 3 dry chilli, grated coconut and fry it well. Grind it finely, add it to the cooked gourd and boil it a little and season it with mustard and curry leaves."
13,Brinjal,Brinjal Gojju,7 Mins,10 Mins,4 - 5 People,"2 large eggplants, 4 green chillies, 1 lemon size tamarind juice, salt, 50grms jaggery, 2 onions chopped into small pieces, urad dal, mustard seeds, asafoetida, 5 curry leaf.","Wash the brinjal and cut them into slices and steam them (or greece the brinjal with oil and roast it in fire). After it cools down, remove the skin of the cooked brinjal and mash it nicely and keep it aside, add tamarind juice, , onion, jaggery, salt, and finely chopped green chilli to the mashed brinjal. At the end season it with Mustered seeds, urad dal, dry chilli, asafoetida and curry leaf. "
14,Brinjal,Brinjal Bolu Huli,15 Mins,10 Mins,4 - 5 People,"Two brinjals, one cup of toor dal, one lemon-sized tamarind juice, two green chillies, salt, mustard, dry chilli, asafoetida, curry leaves.","Add toor dal, brinjal, green chilli, a spoonful of oil, a pinch of turmeric and cook for three whistles in the cooker. After it cools down, add salt, jaggery, tamarind juice and boil it. Finally season it with mustered seeds, asafoetida, curry leaves."
